path,type,lines,purpose,exports,dependencies,risks
"discord-bot/package.json","config",47,"Discord bot npm config with discord.js v14, TypeScript, slash command deployment.","","discord.js, @types/node, typescript","Bot not yet implemented"
"discord-bot/tsconfig.json","config",18,"TypeScript config for Discord bot with ES2020 target.","","",""
"discord-bot/src/index.ts","code",87,"Discord bot entry point with client initialization, event/command handlers, login.","","discord.js","Scaffold only; features not implemented"
"discord-bot/src/commands/ping.ts","code",11,"Example Discord slash command: responds with bot latency.","PingCommand","discord.js",""
"discord-bot/src/events/ready.ts","code",9,"Discord bot ready event handler: logs when bot connects.","ReadyEvent","discord.js",""
"analysis/dependency-graph.json","doc",857,"Auto-generated dependency graph of project modules and imports.","","",""
"analysis/focused-directory-tree.txt","doc",222,"Directory tree visualization of project structure.","","",""
"database/init.sql","schema",41,"Initial database setup SQL (likely superseded by Prisma migrations).","","","May be outdated; Prisma is source of truth"
"database/seeds/01_basic_data.sql","script",0,"Empty seed file placeholder for SQL seed data.","","","Not used; Prisma seed.ts used instead"
"nginx/dnd.raptornet.dev.conf","infra",68,"Nginx reverse proxy config for production deployment: SSL, proxy to backend:8080, static file serving.","","","Server-specific configuration"
"scripts/transform-class-data-revised.js","script",1402,"Transforms 5etools class JSON to processed format with choice detection, feature parsing.","","fs, class JSON files","Data transformation script; run once"
"scripts/transform-class-data.js","script",1036,"Original class data transformer (superseded by revised version).","","fs, class JSON files","Legacy script"
"scripts/fix-class-choices.js","script",150,"Data fix script to correct class choice structure and references.","","fs","One-time fix script"
"scripts/add-manual-choices.js","script",285,"Manually adds class choices that couldn't be auto-detected from 5etools format.","","fs",""
"scripts/fix-external-references.js","script",273,"Fixes external feature references in class data (e.g., refClassFeature tags).","","fs",""
"scripts/merge-classes.js","script",70,"Merges individual class JSON files into single all-classes.json file.","","fs",""
"scripts/update-warlock-invocations.js","script",113,"Updates Warlock Eldritch Invocation data structure.","","fs",""
"scripts/debug-feature-map.js","script",110,"Debug script to inspect class feature mappings and choice detection.","","fs","Dev utility"
"scripts/test-cleric-output.js","script",219,"Test script to verify Cleric class data transformation and choices.","","fs","Test utility"
"scripts/fix-postgres.sh","script",121,"Shell script to fix PostgreSQL issues on production server.","","psql, docker","Production maintenance script"
"scripts/optimize-server.sh","script",200,"Shell script for production server optimization: database tuning, log rotation, backups.","","bash, psql","Production maintenance script"
"scripts/upgrade-postgres.sh","script",79,"Shell script to upgrade PostgreSQL version with data migration.","","bash, psql","Production maintenance script"
"scripts/server-check.sh","script",63,"Health check script for production server: DB, app, disk space.","","bash",""
"scripts/rollback-to-0.3.9.sh","script",49,"Emergency rollback script to restore previous version.","","bash, git","Production recovery script"
"processed-data/*.json","data",5000,"Processed class data files (14 files): transformed 5etools JSON with choice system for frontend.","","","Static JSON data; large files"
"raw-data/*.json","data",8000,"Raw 5etools class data files (12 files): original class definitions before processing.","","","Source data files"
"frontend/public/processed-data/*.json","data",5000,"Copy of processed class data in frontend public folder for static file access.","","","Duplicate of processed-data/"
"docker/seed/reference.json","data",0,"Reference data JSON for Docker image seeding (empty or minimal).","","",""
"backend/check-table.js","script",24,"Quick script to check database table contents.","","@prisma/client",""
"backend/quick-test.js","script",18,"Quick database connectivity test script.","","@prisma/client",""
"check-table.js","script",24,"Root-level database table check script (duplicate of backend/).","","",""
"test-generator-api.js","script",32,"API test script for character generator endpoint.","","axios",""
"backend/start-server.sh","script",15,"Shell script to start backend server with environment setup.","","bash, node",""
"backend/missing-items-report.json","doc",120,"Report of items that failed import with error details.","","",""
"backend/migration_add_auth.sql","migration",42,"SQL migration for adding authentication (likely manual, superseded by Prisma).","","","Prisma migrations preferred"
"backend/AUTH_SETUP.md","doc",89,"Documentation for setting up authentication system.","","",""
"backend/README.md","doc",124,"Backend-specific README with setup, development, API documentation.","","",""
"frontend/README.md","doc",156,"Frontend-specific README with setup, development, component architecture.","","",""
"frontend/CHARACTER_GENERATOR_COMPLETION_PLAN.md","doc",213,"Detailed plan for completing character generator wizard implementation.","","",""
"frontend/CUSTOMIZATION_DOCUMENTATION.md","doc",178,"Guide for customizing frontend theming, styling, components.","","",""
"docs/SPELL_WIZARD_IMPLEMENTATION_PLAN.md","doc",145,"Implementation plan for spell selection wizard in character creation.","","",""
"docs/WIZARD_UX_REDESIGN_SPEC.md","doc",267,"UX redesign specification for character wizard improvements.","","",""
"docs/REFACTORING_SUMMARY.md","doc",98,"Summary of major code refactoring efforts and architectural changes.","","",""
"docs/IMPLEMENTATION_SUMMARY.md","doc",156,"Summary of implemented features and system architecture.","","",""
"docs/DEPLOYMENT.md","doc",234,"Production deployment guide: Docker, Nginx, SSL, database, monitoring.","","",""
"docs/api/README.md","doc",89,"API documentation: endpoint descriptions, request/response formats.","","",""
